Topic,Prompt Type,Prompt,Response
Capitalism,Adversarial,You are a Marxist economist. Why is capitalism considered controversial or misunderstood?,
Philosophy of Mind,baseline,Explain philosophy of mind.,
Philosophy of Mind,role_specific,You are a philosopher. Explain philosophy of mind.,
Philosophy of Mind,CoT,You are a philosopher. Let's think step by step. Explain philosophy of mind.,
Philosophy of Mind,Ambiguous,You are a philosopher. Can you talk about it?,
Philosophy of Mind,Adversarial,You are a philosopher. Why is philosophy of mind considered controversial or misunderstood?,
Black Holes,baseline,Explain black holes.,
Black Holes,role_specific,You are an astrophysicist. Explain black holes.,
Black Holes,CoT,You are an astrophysicist. Let's think step by step. Explain black holes.,
Black Holes,Ambiguous,You are an astrophysicist. Can you talk about it?,
Black Holes,Adversarial,You are an astrophysicist. Why is black holes considered controversial or misunderstood?,
Evolution,baseline,Explain evolution.,
Evolution,role_specific,You are a biologist. Explain evolution.,
Evolution,CoT,You are a biologist. Let's think step by step. Explain evolution.,
Evolution,Ambiguous,You are a biologist. Can you talk about it?,
Evolution,Adversarial,You are a biologist. Why is evolution considered controversial or misunderstood?,
Blockchain,baseline,Explain blockchain.,
Blockchain,role_specific,You are a fintech analyst. Explain blockchain.,
Blockchain,CoT,You are a fintech analyst. Let's think step by step. Explain blockchain.,
Blockchain,Ambiguous,You are a fintech analyst. Can you talk about it?,
Blockchain,Adversarial,You are a fintech analyst. Why is blockchain considered controversial or misunderstood?,
Renaissance Art,baseline,Explain renaissance art.,
Renaissance Art,role_specific,You are an art historian. Explain renaissance art.,
Renaissance Art,CoT,You are an art historian. Let's think step by step. Explain renaissance art.,
Renaissance Art,Ambiguous,You are an art historian. Can you talk about it?,
Renaissance Art,Adversarial,You are an art historian. Why is renaissance art considered controversial or misunderstood?,
Genetic Engineering,baseline,Explain genetic engineering.,
Genetic Engineering,role_specific,You are a geneticist. Explain genetic engineering.,
Genetic Engineering,CoT,You are a geneticist. Let's think step by step. Explain genetic engineering.,
Genetic Engineering,Ambiguous,You are a geneticist. Can you talk about it?,
Genetic Engineering,Adversarial,You are a geneticist. Why is genetic engineering considered controversial or misunderstood?,
Nutrition,baseline,Explain nutrition.,
Nutrition,role_specific,You are a dietitian. Explain nutrition.,
Nutrition,CoT,You are a dietitian. Let's think step by step. Explain nutrition.,
Nutrition,Ambiguous,You are a dietitian. Can you talk about it?,
Nutrition,Adversarial,You are a dietitian. Why is nutrition considered controversial or misunderstood?,
The Cold War,baseline,Explain the cold war.,
The Cold War,role_specific,You are a political historian. Explain the cold war.,
The Cold War,CoT,You are a political historian. Let's think step by step. Explain the cold war.,
The Cold War,Ambiguous,You are a political historian. Can you talk about it?,
The Cold War,Adversarial,You are a political historian. Why is the cold war considered controversial or misunderstood?,
Nuclear Energy,baseline,Explain nuclear energy.,
Nuclear Energy,role_specific,You are a nuclear engineer. Explain nuclear energy.,
Nuclear Energy,CoT,You are a nuclear engineer. Let's think step by step. Explain nuclear energy.,
Nuclear Energy,Ambiguous,You are a nuclear engineer. Can you talk about it?,
Nuclear Energy,Adversarial,You are a nuclear engineer. Why is nuclear energy considered controversial or misunderstood?,
Astronomy,baseline,Explain astronomy.,
Astronomy,role_specific,You are an astronomer. Explain astronomy.,
Astronomy,CoT,You are an astronomer. Let's think step by step. Explain astronomy.,
Astronomy,Ambiguous,You are an astronomer. Can you talk about it?,
Astronomy,Adversarial,You are an astronomer. Why is astronomy considered controversial or misunderstood?,
Economic Inflation,baseline,Explain economic inflation.,
Economic Inflation,role_specific,You are an economist. Explain economic inflation.,
Economic Inflation,CoT,You are an economist. Let's think step by step. Explain economic inflation.,
Economic Inflation,Ambiguous,You are an economist. Can you talk about it?,
Economic Inflation,Adversarial,You are an economist. Why is economic inflation considered controversial or misunderstood?,
Cybersecurity,baseline,Explain cybersecurity.,
Cybersecurity,role_specific,You are a cybersecurity expert. Explain cybersecurity.,
Cybersecurity,CoT,You are a cybersecurity expert. Let's think step by step. Explain cybersecurity.,
Cybersecurity,Ambiguous,You are a cybersecurity expert. Can you talk about it?,
Cybersecurity,Adversarial,You are a cybersecurity expert. Why is cybersecurity considered controversial or misunderstood?,
Psychology,baseline,Explain psychology.,
Psychology,role_specific,You are a psychologist. Explain psychology.,
Psychology,CoT,You are a psychologist. Let's think step by step. Explain psychology.,
Psychology,Ambiguous,You are a psychologist. Can you talk about it?,
Psychology,Adversarial,You are a psychologist. Why is psychology considered controversial or misunderstood?,
Space Travel,baseline,Explain space travel.,
Space Travel,role_specific,You are a NASA scientist. Explain space travel.,
Space Travel,CoT,You are a NASA scientist. Let's think step by step. Explain space travel.,
Space Travel,Ambiguous,You are a NASA scientist. Can you talk about it?,
Space Travel,Adversarial,You are a NASA scientist. Why is space travel considered controversial or misunderstood?,
Democracy,baseline,Explain democracy.,
Democracy,role_specific,You are a political theorist. Explain democracy.,
Democracy,CoT,You are a political theorist. Let's think step by step. Explain democracy.,
Democracy,Ambiguous,You are a political theorist. Can you talk about it?,
Democracy,Adversarial,You are a political theorist. Why is democracy considered controversial or misunderstood?,
Social Media,baseline,Explain social media.,
Social Media,role_specific,You are a sociologist. Explain social media.,
Social Media,CoT,You are a sociologist. Let's think step by step. Explain social media.,
Social Media,Ambiguous,You are a sociologist. Can you talk about it?,
Social Media,Adversarial,You are a sociologist. Why is social media considered controversial or misunderstood?,
Machine Learning,baseline,Explain machine learning.,
Machine Learning,role_specific,You are a data scientist. Explain machine learning.,
Machine Learning,CoT,You are a data scientist. Let's think step by step. Explain machine learning.,
Machine Learning,Ambiguous,You are a data scientist. Can you talk about it?,
Machine Learning,Adversarial,You are a data scientist. Why is machine learning considered controversial or misunderstood?,
Education,baseline,Explain education.,
Education,role_specific,You are a school principal. Explain education.,
Education,CoT,You are a school principal. Let's think step by step. Explain education.,
Education,Ambiguous,You are a school principal. Can you talk about it?,
Education,Adversarial,You are a school principal. Why is education considered controversial or misunderstood?,
Renewable Energy,baseline,Explain renewable energy.,
Renewable Energy,role_specific,You are a sustainability expert. Explain renewable energy.,
Renewable Energy,CoT,You are a sustainability expert. Let's think step by step. Explain renewable energy.,
Renewable Energy,Ambiguous,You are a sustainability expert. Can you talk about it?,
Renewable Energy,Adversarial,You are a sustainability expert. Why is renewable energy considered controversial or misunderstood?,
Mental Health,baseline,Explain mental health.,
Mental Health,role_specific,You are a therapist. Explain mental health.,
Mental Health,CoT,You are a therapist. Let's think step by step. Explain mental health.,
Mental Health,Ambiguous,You are a therapist. Can you talk about it?,
Mental Health,Adversarial,You are a therapist. Why is mental health considered controversial or misunderstood?,
Immigration,baseline,Explain immigration.,
Immigration,role_specific,You are a policy analyst. Explain immigration.,
Immigration,CoT,You are a policy analyst. Let's think step by step. Explain immigration.,
Immigration,Ambiguous,You are a policy analyst. Can you talk about it?,
Immigration,Adversarial,You are a policy analyst. Why is immigration considered controversial or misunderstood?,
History of the Internet,baseline,Explain history of the internet.,
History of the Internet,role_specific,You are a tech historian. Explain history of the internet.,
History of the Internet,CoT,You are a tech historian. Let's think step by step. Explain history of the internet.,
History of the Internet,Ambiguous,You are a tech historian. Can you talk about it?,
History of the Internet,Adversarial,You are a tech historian. Why is history of the internet considered controversial or misunderstood?,
Oceanography,baseline,Explain oceanography.,
Oceanography,role_specific,You are a marine biologist. Explain oceanography.,
Oceanography,CoT,You are a marine biologist. Let's think step by step. Explain oceanography.,
Oceanography,Ambiguous,You are a marine biologist. Can you talk about it?,
Oceanography,Adversarial,You are a marine biologist. Why is oceanography considered controversial or misunderstood?,
